,Result,Text
270,TP,algernon4s comment Ms Pagets ultra lewd dance this film erotic history films certainly one doozy exaggeration It even Debra Pagets erotic dance Her near nude gyrations Fritz Langs The Indian Tomb make number look decidedly tame As erotic history dance Well Where I start Salma Hayeks performance Santanico Pandemonium From Dusk Dawn 1996 Jamie Lee Curtis True Lies 1994 Jessica Alba Sin City 2005 Rose McGowan Terror Planet 2007 Sheila Kelley Dancing Blue Iguana 2000 blah blah blahbr br Dont get wrong I love sequence included Cheesecake Dance series Youtube I think making claim like most erotic history film really going fragile limb
271,TP,The vivid portrait smalltown oddity Ive seen long time and Im talking Australian films This piece work seems made under radar really entirely fascinating piece work worldliness mostly unseen recent Aust film makingbr br At times rather slow strange  seems meander hither thither really sure thriller headmovie But stunning aspect film Alex Frayne iron fisted ruthless direction It never wavers highly controlled precise absolutely selfassured The cinematography artful beautiful lyrical Ive seen The sound psychological music builds tensionbr br By third act story ramped episodes collide converge  attempt piece together puzzle last 20 minutes bit impost  time film bit trance sort hypnosis sold riddle  real answer
272,TN,Zipperface kind experience one waits entire lifetime avoid Mansour Pormand ranks one worst film directors time If however love bad films see costs
273,TP,I disagree imdbcom synopsis bisexual guy preparing get married Its crap go  selfinduced parents  get over grow up Like Linda McCarriston poem says Childhood barrel throw falls in This movie much like narrative poem Its life mistakes make hurt inflict experience years end love Im trying hypersensitive schmoopy finding one special person
274,TP,This Columbo episode one better perhaps one personal favorites The cast includes Rosemarys Baby John Cassavetes maestro wife played Blythe Danner Gwyneth Paltrows mom motherinlaw played Myrna Loy one Americas greatest leading actresses film time Anyway I disagree anybody criticizes film This episode one favorites excellent cast superb job performing I love watching Columbo beloved dog never names series This time episode focuses classical music Hollywood Bowl one LAs attractions Of course Columbo becomes interested classical music anything else involving crime
275,TP,first watched film years ago daughter 13 fell love vampire thought top film watched sub 11 sub 111 find sub 1v cannot wait get fangs on also fifth pipe line one seen movies best best think deservers thousands Oscars could watch morning nighti would love set nails like has watch girls love story lines continues film film ant typical vampire movies better would love live life protruded films would make dreams come true
276,TN,The two leads Englishman Aussie filming American Civil War story Romania slightest spark them utterly unbelievable lovers wholly unsympathetic There story characterization virtually nothing keep eyelids separated interminable bore fest Renee Zelwegger also hopelessly miscast practically chews fence posts least watching embarrass provides comic relief Nicole Kidman decade old role slightest idea whats going on Jude Laws moron role could played equally well Romanian extras The requirement wander forest looking stupid watching parade guest stars steal show Not mattered guest star roles completely unnecessary advance socalled plot one iota And enough auteur felt necessary throw spinning whirling kung fu jumping horses What about
277,TP,OkayIm history buffand okayIm action film junkieso coursethis film top ten timeI really love action scenesand unique weaponry periodI sort doubts fighting twohanded sword horsebackand Raisuli sword seems katanalike scimitarlikeoh wellIve never fought horse backeitherbr br I love attempts philosophic proverbstooThe typical desert tribesman probably read Koranso theyd take word itSeveral writers criticized Connerys broguewellon vacation youthI met family South Africans westDinosaur National Monumentand although spoke Africaans themselvesyeahsecond generation Germans hear differencethey spoke English Scottish brogueSeems teaches affects pronunciationScottish Missionary
278,TP,The short film got Gaspar Noe movie map introducing us horrific thoroughly interesting character The Butcher played brilliantly Phillipe Nahon Noes direction hallmarks later films showing carving voice style beginning His sudden cutting along harsh loud noise skipping flashbacks many techniques used disconcert viewer And certainly works Also afraid showing violence viewers Irreversible know Here violence equally powerful sequel Seul Contre Tous almost unbearablebr br The film opens horse killed It shot head watch writhe floor pool blood flowing out We see human birth bloody glory daughter The Butcher He orphaned WWII grown hating world everyone everything it He serves customers interior monologue constantly reminds us thoughts wants dead His daughter Blandine Lenoir would also reprise role six years later thing cares about watch grow older together She however mute subject bullying toying The Butchers relationship almost incestuous bathing old enough etcbut explored next film When attacked man Butcher explodes rage stabbing innocent man mouth He goes prison taken things wants shop daughter In short 40 minutes see more time prison release back world Because daughters state autistic well think bland little except stare full control father The film continues exceptionally bleak Seul Contre Tous If can watch two films one first It truly excellent acting difficult watch relentless tonebr br 7 10
279,TP,For expect documentaries objective creatures let give little lesson American filmmakingbr br Documentaries rely heavily casting You pick choose characters think enhance drama entertainment value filmbr br After shot ton footage splice together make film ups downs turning points climaxes etc If trouble existing footage either shoot makes sense find stock footage clever narrationbr br The allegation filmmakers used footage locales part movie favelas next beautiful beaches detract value film dramatic piece particular image one resonates enough justify notquitetruthful inclusion At rate use footage can So happen police violence footage particular neighborhood Does mean include talk maybe put cartoon animation audience duped Um nobr br As hopeful ending not Yes Americans made it Yes Americans optimistic bastards But end note Just set foreign country foreign films large end note Let foreigners portray dismal outlook lifebr br Let us Americans think may happy ending looming future There may one
280,TP,If meant comedy filmmakers sure goofed If intended comedy hit mark Our critic says Homegrown wonderful film filled family values community spirit recommends audiences says really liked Jamie Lee Curtiss performance It deserves theatrical rerelease
281,TN,If really loved GWTW find quite disappointing story Those may think romantic story south probably satisfied decent TV production altought I consider important miscast choice Scarlett But let say considering novel nothing good could came thisbr br Ive read GWTW 20 times I really appreciate adaptation Mrs Mitchell film It took time understand good ending was Scarlett knew sure going recover Rhett since always got wanted But kiss endbr br Then Alexandra Ripley came fix showing us exactly perfect mighty Scarlett could be course describing detail exactly gets Rhett back even important affair someone else nothing could Mrs Mitchell mind I surebr br The story points opinion long boring ride made tie ends showing costumes scenarios give us obvious totally unnecessary endingbr br If Margaret Mitchell could came live again would die one time moment shed find Scarlett became GWTWbr br Sure fair compare original GWTW fault Isnt it Is good I compare original Maybe Sorry say I really carebr br I would expect little compromise continue someone elses suberb work otherwise even try
282,TN,To fair I bear watch movie way thru I idea suddenly gets better half way thru film But first 30 minutes amongst worst I seen while Children twelve might get kick poorly written acted directed slapstick humor adults full control faculties steer clear stinker
283,TP,The Beat exciting movie couple young punks trying survive 1980s New York This involves fighting street gang directly share high school class with trying stay school well going local shows involve bands look like Dead Kennedys name Skulls band name Rex played David Jacobson Plays autistic kid starts get long kinds starts show poetry really beautiful applied kids life really make things work better Billy Kane Played William McNamara Kate Kane played Kara Glover brother sister Although roll crowd thugs kids type people group They care Rex care others really show enlightened side themselves While sister sleeps head Gang also falling love Rex trying show slut But end teachers school finally get want put mental institution finally feels time end life Animals Sound played without him But like think dead living life fullest riding sharks happy living ocean This movie one movies I glad I watched it While extremely entertaining also big message it Something long lines kids direction future figure heads look to troubled kid came along realized way important things life fighting local black kids destructive everything Rex showed beauty angry music Rex showed beauty Rats Disease Murder Rex showed beauty almost everything things beauty involved still able see used poems poems speak people Rex played important part move changed everyones heart depression see hope them thats started show them The Beat
284,TN,After reading many good things i finally watched the clearingWith cast great actors like Redford Dafoe one wouldat least expect decent filmAfter closing credits rolled still shocked bad incoherent movie actually wasbr br Is supposed art filmI think cause melodramatic thatThe bad thing drama seems way forced unrealisticbr br The truth script makes absolutely senseFirst never really explains motive behind actions charactersit overblows called personal issuesWhats bad Redfords characters life clear itThe fact cheatsoccasionallyhis wifeThe guy millionaire good lifehas great son great daughtera wife loves himand girlfriend also seems way generic mistress type womano newborn grandsonThe problem seems hehas working hard life successful personSo whatIt seems hard work really paid theres actually real problems lifebr br Then come Dafoes characterheres someone manager one Redfords companies firedWhy guy unemployed eight yearsIt seems must kind good education job like one first place seems man solid ideas workas evident flashback conversation Redford working himWhy man like get decent job decent lifeCause oncefiredTotally unrealisticbr br The film really tries portray men tortured souls something comes really cheesyIn fact would say creators film trying say something American dream failed miserablybr br As actual events take place movie they also make sense allIn fact last 20 minutes film come insult viewers intelligencebecause theres one thing takes place actually makes senseRedford seems 1000 chances escape yet doesntAt one moment ready escape yet misses chance cause feels sorry kidnapper want hurt himThen Dafoe picks gun water mudwhich uselessif fire shot gun gun water mud possibly blow faceand gun perfect condition The way unemployed uselessas portrayed film mentally unstable charactermanages outsmart entire FBI ease brings narrative film twilight zone levelsThe cheesy endingwith Redfords wife illusion comes finish viewer offbr br This film pretends somethingits notie qualitysophisticated psychological thrillerUnfortunately fails hardthat becomes disaster thats word describes film bestA DISASTER
285,TP,One many backwoods horrors came early eightes fortunately one better ones Yes cheesy plot I pleasantly surprised film I thought really good really entertaining although killer could made bit scarier looked like fat slobbr br First all local sheriff whatever hell is warns go mountains dangerous But teens arrive seem dangerous all well according anyway Its shame get movies like longer do usually boring terrible filmbr br This movie relies tension scary gore gore factor really low movie I pleased still great moviebr br All search long hard find movie find it like also watch ending final girl killer totally expect
286,TN,Edge Vs MichaelsBoring general loved sweet chin music chair 410 Taker Vs HeidenreichOne worst matches Ive seen predictable hell 110 Tripe Threat WWE matchWhy I watch them nobody ever wins championship rumble main event Liked Show drove JBL wall 310 World Heavyweight ChampionshipPretty OK match kind beatdown Tripe H match I happy see watching crap 510 Royal RumbleGood RumbleLiked brand showdownthe Hassan thing end 710 Overall still crap Why anyone watch rumble
287,FN,I actually satisfied played gameThe graphics something newThe missions greatBut yetI felt wanted gameFor James Bond game pretty good good gamesIt would great could make 360Remake itIt would much better thenThis may cuz Im games Resident evilDead rising kind gamesSo could better OK playOne thing absolutely hated game NatalyaShe irritating dying time run eitherI recommend game like FPS games do710 STARS
288,TP,This new Barbie movie The graphics really good They made movie seem partially realistic I used ballet movie made want continue it This movie kind like Cinderella movie little bit different A father 12 princesses gets sick His cousin poisons wants throne The girls find secret magical land thanks dead mothers stories Its save father society With help handsome prince It funny movie friend fun watching it We enjoyed lot also enjoyed Indian talking parrot The music nice made movie even greater It great classical orchestra The voices great characters adorably sweet cute I liked enjoy movie great family All Id watch again
289,TN,Im afraid I like adaptation When I started watching I strange feeling watching 70s TV series due filter musical score I like end scene Mr Tilney appears dressed waistcoat Jane Austen would never gentleman ride without frock coat Looks like producers made modern misinterpretation romantic girls dream I appreciate modern JA adaptations much more show eye details makes BBC series worthwhile Sorry looking forward 2007 adaptation I hope better show benefits 20 years Jane Austen adaptations
290,TP,Few people realize it world literature ancient world Greeks came scene Besides literary remains Old Testament Jews considerable works Mesopotamia Egypt The summit former religious poetry The Epic Of Gilgamesh The Egyptians produced many poems main addition tale adventure traveler physician called The Story Of Sinuhe It work actually fragment know ending of novel The Egyptian came frombr br The story unique as movie The Egyptian best seller early 1950s Darryl Zanuck decided take chance making it yes wanted showcase girlfriend Bella Darvi Nefer well rest cast Victor Mature Edmund Purdom Peter Ustinov Michael Wilding Gene Tierney aware films rarely made large box office One chalk example Zanuck trying something differentbr br The number movies deal ancient Egypt small Land Of The Pharoahs The Egyptian The Ten Commandments both De Mille versions Moses Holy Moses Cleopatra The Mummy all versions The Scorpion King If 20 films ancient Egypt tremendous But The Egyptian unique While second Ten Commandments discusses Ramses Great Pharoah Ramses II  Yul Brynner father Seti I Cedric Hardwicke films Cleopatra deal her names ancient Egypt crop film Egypts greatest Pharoah Thutmose III conquered known middle east era 1470 BCE so No film appeared usurping predecessor historys first great female ruler Hatschepsut But known Pharoah attempted religious revolution approached Jews and later Christians attempted  type monotheism  subject The Egyptian This Pharoah Akhnatonbr br In reality Akhnaton practicing personal form monotheism meant public consumption But angered priestly class worshiped Amon rather Aton Due uncertain historic records although Akhnatons official records  TelelAmana letters  quite complete far survive know Pharoah killed palace coup not However died succeeded young brother son whose name better recalled Pharoah except Ramses Tutankhamonbr br This film actually quite good far goes Wilding makes good natured Akhnaton weak effective religious reformer supposed be Mature good ambitious and  outside film  ultimately successful future Pharoah Horemheb Tierney Purdom well lead parts Ustinov good Purdoms friend Also good Ms Darvi large supporting part In wonderful cameo John Carridine philosophical grave robber The film certainly worthy viewing one attempts show part history culture Ancient Egypt
291,TN,Here is A new horror icon new millennium Better Freddy More dangerous Jason Vorhees More evil Michael Myers Hard believe I know But time herebr br Ray The Prickbr br Yep antagonist Ray complete Prick This partly naughty things does Also scar oh scary face But mainly Ray The Prick milkedbr br Yep Ray channel evil He even become cursed even voodoo spell Nope Ray The Prick milked As DeNiro said You milk anything nipples And Ray milked Of evilbr br How milk evil ask Snake nipples I reply Snake nipplesbr br Why Ray ask Because hes Prick I reply Capital Pbr br Watch New Line Pictures extravaganza entitled Freddy Vs Ray The Prickbr br Thought new horror saviour Jeeper The Creeper Well more cause Ray The Prick here And Im frightenedbr br Pity atmosphereless PG13 unoriginal workmanlike quality film though Rays star
292,FP,I picked DVD cheepo bin Walmart cover showed one planes I flew VietNam C123k I fly Air America knew C123 pilot I knew lot did including flew Reserve Unit back home I movie critic wonder subliminal motivation Directors Writers make movies like this The best part movie go cameraman The flying shots stunts although totally cartoon like excellent The movie begins Hollywoods favorite fall guy 1969 But fact is Nixon start Air America begin lies Johnson responsible Air America Nixon inherited lies war Air America Its fair accurate portray Nixon liar subject Air America All Presidents inherited lies predecessors Nobody smart enough fly C123 dumb enough know joining That makes Downey character unbelievable A C123 rugged airplane It could easily fly one engine two auxiliary jet engines The three stooges shooting duck one shot likely Pilots flew Air America civilian employees CIA reckless soldiers fortune They good reason behave believe future survived extremely dangerous job They given double time towards retirement pension They required sell dope guns get good pension Dope legal way life SEA still today Afganistan If individual pilots tried make money side CIA policy The CIA fighting war communism drugs The writer based story war stories Pilots love BS anybody buy beer listen The writer Director ax grind VietNam Nixon See movie remember starts  blames Nixon existed years Remember become President Jan 20 1969br br My favorite scene landing hill jungle Air America pilots put planes places aircraft designers never thought possible Their plenty funny stories could shown Instead Director chose use oversize rubber scene show dumb CIA was This scene shows Director writer fell pilot bar talk joke them br br MDS Fort Valley Virginia
293,TP,Ive huge fan Cky videos Jackass Viva La Bam long time Theyve great run I expected laughter end eventually But yet This movie kept mouth open entire time Im still laughing randomly I went theater low expectations thinking going better first Oh incredibly wrong I wasbr br There many great moments movie If squeamish like randomly placed raw humor disliked first movie probably like this But said I almost wet pants laughing hard It kinds different pranks masochistic humor toilet humor puking laughing great falls massive damage done cast Ryan Dunn even branded Bams rear end image stuck long time Im sure imagine raw movie isbr br No pain gain Right This movie already done well causing theaters America laugh hard theyll wishing could last longer I know I did This movie feel short all especially credits continuing footage But I still wish couldve gone forever Now lets wait see release Jackass Number 3 Overall excellent film get past male nudity sickening images Keep kids film They need see this least older Support crew BUY THIS comes DVD I know I will
294,TN,I found early talkie difficult watch Im Norma Shearer fan Its fault primitive production values film would cause viewer become bored 90 movie filmed medium shots similar watching dull play
295,FN,When I engaged fiance I would frequent adult bookstores He would look favorite mags occasion video caught eye As much I enjoyed oneonone media caused never video I really enjoyed I seen one movie way back satellite channel called XXX it dealt private eye unraveling case actually proper plot enjoyable All others grunting puffing blowing whatnot Theres many times watch blonde bimbo faking itbr br This movie caught eye I migrated it allowing wander shop He noticed how hard too grins I actually interested something lol video section came over buying slightly used copy me We took home I loved it Here Porno plot I sure even classified porno I use word looselybr br The librarian character I could identify with Alice rejected boyfriends advances She comfortable sexuality prudish comments Bill went away continued check books The White Rabbit ran library one book notice closely I believe its ten years since I saw movie Lewis C Alice reason propels teenagers run woods chainsaw wielding maniac behind rather towards populated areas follows Its best way get plot forward Alice finds Wonderlandbr br I barely recall details I remember clearly swim lake dried off I liked got Humpty Dumpty Up again Mad Hatters size member hat wear proudly brother sister team Dum Dee which disturb slightlythen again could husband wife I never could tell matter many times I watched it The woman knight told Alice go away find Knight Whats A Nice Girl Like You Doing Knight Like Thisbr br The part really caught attention I watched year later one cards 3 hearts I think resembled exs current wife exactly We help tease movie The King Hearts interesting Queen even so Due openness forum I cant go details say orgy based well leave thatbr br When split up I allowed take videohe knew I liked itbut time since lost borrowing Someday Ill find another copybr br Btw anyone could tell offlist scene cut Amazon version Id really appreciate itbr br I heartily recommend movie 18 crowd It soft sweet really 70s I liked immenselybr br  5 D
296,TP,Although copies movie hard find find it get it  I believe was aside In The Navy Abbott Costellos musical Although twisted plot around little Ive never heard version butcher goes him still enjoy antics slightly idiotic lovable Jack greedy butcher Mr Dinklepuss Slightly reminiscent DuBarry Was Lady uproarious film rolling floor  get dance Lou Costello sings I know films
297,TN,Ha ha  oh  say film Yes  green eggs ham makes sense movie Where one start A lot good stuff already said  I divulge territory I believe already movie summary  I paraphrase moviebr br First  lets start goodbr br 1 If like psychological thrillers make think as I do first 29 minutes film  one films illustrates question always talked long car drives kids like what chose one family member live another die or die drowning fire This movie great concept  bottom linebr br 2 The wardrobe group fine job bringing us back 70s Realistically though difficult accomplish Okay thats good Lets talk badbr br 1 This movie feels like 2 hour Twilight Zone episode This could easily 90 minutes That might made movie tolerablebr br 2 Do remember movie From Dusk til Dawn The movie started interesting halfway movie took degrading turn Yep  thing here I would venture say writers started concept idea it Ive gotten deeper thought provocation Transformers 2br br 3 Yes  get dilemma film We understand philosophical undertones Utilitarian approach  story jumped around way much elaborate current story arc took aforgive mecompletely insulting directionbr br 4 The ending make sense Not all Nonebr br This movie would make great term paper college philosophy 101 If board mind bed sick ever enjoyed hit face pie view free online  means go itbr br If need pay anything view movie waste time  better watching old Howie Mandel standup You Tube You get philosophical stimulation reorganizing sock drawer
298,FP,A blind person could shot movie betterseriously The director clearly novice He must Dennis Hoppers coke dealer something convince movie I felt embarrassed Dennisbr br To John directorPLEASE retire directing Your contribution needed wanted The medium film stronger without you You terrible directing Stick bagging groceries somethingbr br This movie bypassed straight video gone striaght trashcan Im dumber person seen movie DO NOT SEE THIS MOVIE IF YOU RESPECT YOURSELF AND RESPECT THE ARTFORM OF FILM
299,FP,Daft potboilers come much dafter this Douglas Sirk movie makes everything alright Except case doesnt Based sanctimonious novel sanctimonious Lloyd C Douglas he wrote The Robe already filmed 1935 Irene Dunne Robert Taylor got uplift cantilever brabr br Rock Hudson arrogant playboy feels responsible making Jane Wyman widow later directly responsible accident loses sight To make amends takes medicine becomes great eye surgeon restores it No sint quite daft planned become doctor becoming arrogant playboy In times fall lovebr br Try I might I cant quite find redeeming social commentary critique American mores supposed lie surface Sirks films this one deep On plus side Rock Hudson half bad I think I rediscovering him and course looks great in Sirks films people live rooms size cathedrals Nothing film matches best later work even soapopera terms definitely daytime TV
300,FN,This film wellpaced I think I actually blinked watching One intense situation another kept glued set However I would liked seen Corey Feldman lot picture He steals every scene in This could favorite grown Corey performance The ending clever unlike films back away severing body parts likeable supporting characters film goes it I liked graphic blood gore left viewers imagination Bravo I literally wipe sweat forehead particular torture scene paper cutter Ultimately film works likeable lead character awesome presence alltime favorite bad guy James Remar48 Hours remember I strongly recommend film anyone looking break sweatbr br 
301,TP,Based true story Christopher Boyce Hutton Daulton Lee Penn involvement selling American secret Government documents Soviets 1970s Boyce works Government job guard particular documents ultimately disillusions Countrys affairs practices He enlists drugdealer friend Daulton Lee become wanted man courier sensitive documents Lee infiltrates Russian Embassy Mexico makes contact Alex Suchet begin play espionage gamebr br Lees interest purely money whilst Boyce acting anger towards system involved in Alex believes Lee inside man American government Things start become array Lees drug addiction reckless behaviour handling courier position offsets Alex Boyce Lee becomes paranoid initial espionage game becomes deadly consequential everyone involvedbr br This true spy thriller without cheesy action The character motives analysis reallife subjects sympathetic well written film cleverly interweaves reallife events underlying political themes human predatory behaviour Where bigger nation uses political power control smaller nations Well directed intense parts especially protagonists become immensely heads spy game Timothy Hutton Sean Penn give amazingly riveting performances film questions authority yet simple answer political message complexity system The plight protagonists becomes underlying message within The Falcon Snowman makes clever political thriller poignant element society human relationships American system Great filmbr br 12 
302,TP,When I saw film first time I impressed concerning kind atmosphere director creates It also interesting see imagine near future year 1974 If see film see lot sets customs called freaky modern todaybr br The topic film deals old question What real illusion If see The Matrix find lot similarities But two films comparable Welt Draht art The Matrix entertainment If prefer first onebr br Unfortunately I lost video copy itbr br 
303,TN,20 years ago Dr Chopperyes driving chopper well chopping people up disappeared police found dead bodies clinic Since people disappearing around Lake Tanokaor something dead bodiesparts bodies found place Turns Dr Chopper needs body parts stay alive taking strangers like pair lesbians 5 sorority girls initiationyou get picture traveling Lake Tanoka When bunch teenagers decide go camping bound clash doctorbr br Well wanna waste time right choice Acting varies really bad mediocre girls tripping falling time apparent reason Every chance showing skin taken without actually showing anything all The goes special effects pretty pathetic every slash filmed angle cant see lot body parts movie drenched bloodprobably cover sad really look  The plot pretty faulty dialog rather sad Only time I laughed Dr Chopper said Howdy trying scary Dont watch one hacknslash freak Even I would recommend watch something better
304,TP,Great book great movie great soundtrack Frank Sinatra shows movie wanted put effort in could act The ending bit schmaltzy time understandable studio wanted happy ending The graphic nature heroin addiction groundbreaking period plus Add terrific soundtrack got one great American movies
305,TP,I agree aforementioned comments This show delight watch Funny witty terrific acting zany sets Its always thrill find show smartly written assumes audience brains displays subtle humor I would spend good hardearned cash money see DVD And long were requesting Smart Series That Never Got ChanceHow DVD releases Maximum Bob another well written odd duck show delightful cast characters And add listMiddle Ages Franks Place There way release shows vaults hands devoted fans new audiences
306,FN,An intense thriller mute movie makeup artist witnesses snuff film made working late studio one night After tries get away murder scene realizes bargained entire mafia kill witness This movie leaves edge seat
307,TP,Oliver Stone always ready make politicallythemed movies makes another one here Talk Radio loosely based career Alan Berg radio talk show host Denver murdered white supremacists In case character Barry Champlain Eric Bogosian outspoken talk show host Dallas loves nothing irk people call in As is people call bunch pigheaded racists And things may heating anyone realizesbr br Bogosians performance brings light comical tone otherwise serious movie I really liked scene jabs redneck calls in Granted I call Oliver Stones greatest movie ever good reference era media gets concentrated Good performances Ellen Greene Alec Baldwin also help
308,TN,This known fact Mr Seagal cannot smile act kick butt faint smiles real smiles laughing loud real point watching confusing movie We see weight Mr Seagal Dr Wesley Maclaren desperate need haircut real daughter Ayako made appearance office assistant Story Okay Wesley lives another darn outback sweet daughter Holly They sit enjoy red flower tea omelettes end town weight militia leader decides make whole town sick spreading virus travels air kills matter 2 days thinking survive antidote Problem antidote one exists holds back virus while The CIA contacted even cant help one person ill Wesleys daughter Holly So gets hunted thinking cure blood Wesley manages grab daughter take grandfather native indian Together sister law Ann go base hidden lab find cure even soldiers dying slowly others find cure time And shorten moment neither Ann Wesley infected virushmm One weak fight scene Terrible movie men desperate need stair master
309,FN,OKi seen everythingand considered classics  like Halloween movies suck crap even Steven king junkand considered OK really great like carnival souls and plain ignoredlike  evil ed   pumpkin head brain dead the bud Cort one  stick head seen never leavethats meand money much better last house leftlast house great till endingthen blew chunkswhat kind dummy gonna give blow job someone killed kids completely stupid go find movie bully even funny games ya want realism creep ed outbut damn thing stuck yearsone cause chuck Connors always scarytwo Tanya Roberts best female victim everthree chick smothered plaster still one time worst killings filmand 4th telekinetic powers thing blew mind came totally unexpectednot mention dummies wax figures puppets etcit right psycholast houseTexas chainsawetc classicand deservedly so
310,FN,I finally got chance settle compare two versions film currently going around  First good old scummy sleazy Embassy VHS print called SCREAMERS new fully restored Italian DVD everyones new favorite media company No Shame Italybr br The American adverts men turned inside out everyone says totally misleading indicative Roger Cormanized take otherwise would superior fantasyadventure thriller grown ups The complete Italian version somewhat sprawling well designed deliberately paced take Island Dr Moreau theres nothing wrong that Its sumptuous handsome Euro Horror outing brain good plotting character development location shooting period costuming sets etcbr br But I must admit 14 year old knucklehead weed puffer still lurking somewhere inside got bigger kick lurid sleazy unkempt Roger Corman version nice top gore flashy preposterous opening segment bulk Martinos original film albeit somewhat abridged make room Rogers idea entertainment The pacing somewhat quicker shock sequences closer together see much Ms Bachs fantastic form extended Italian versionbr br I still much idea specific story concerns though number plot twists incidental characters somewhat hard keep track of A local voodoo subplot help much funny everything culminates another fistfight noble castaway prisoner mad scientist  Perhaps viewings order I say this Fans movie avail one PAL imports take look actually movie rather another murky old home video  widescreen shot compositions reveal Martino eye filling screen interesting stuff Nobody gets heads ripped like SCREAMERS print still interesting stuff proof standards may pretty much confined area around gutter Roger Corman new good trashy fun made him side side actually better movies bebr br 710
311,TN,I always wanted see ELECTRA GLIDE IN BLUE long time Ive always intrigued title star desert now pretty clear reason film never shown TV Ive happen miss ever shown Well watching DVD I know movie rarely shown good In fact Id say pretty much messbr br ELECTRA GLIDE IN BLUE made first time director shows The film mainly series vignettes absolutely nothing holding together More like collection short movies haphazardly strung together The movie boiled this intro murder cop girlfriend together intro credits cops going work crazy guy tells story cop finds dead body cop chief girlfriend bar chase scene etc The scenes flow together Theyre distinctively independent characterization weak borderline amateurish The scene bar girlfriend scene farm hippies scene Big John Chief yelling cringe worthy I almost stopped film awful momentsbr br The filmmakers lack experience evidence throughout film The style like 1970s map The intro credit scene makes movie look like commercial law enforcement Then tries buddy film Big John Zipper murder mystery melodramatic love story etc A film one particular style order successful Im afraid style ELECTRA GLIDE IN BLUE confused You clearly see director idea going itbr br The film complete disaster While content ELECTRA GLIDE IN BLUE almost amateurish look extremely and deceptively professional The cinematography stunning Every frame worthy exhibition art gallery Or first and last time director involved music business worthy album cover The beautiful look film gives credence finish product really deserves And thanks Robert Blakes acting of really badly written character film maintains certain level realism even though nothing else makes much sense Whats remarkable look composition film copied duplicated million times over The intro credits reminded something like TOP GUN made 13 years later Scenes Johnny dressing up clothes bed reminded American Gigolo Strangely enough ELECTRA GLIDE IN BLUE contemporary feel it due stunning visuals even story philosophy behind hopelessly outdatedbr br So ELECTRA GLIDE IN BLUE is one hand remarkably underrated overlooked film obviously influenced lot future filmmakers comes look composition Very films claim achieved legendary cinematographer Conrad Hall take full credit But hand EGIB also deservedly forgotten poor characters confusing story muddled direction none worth remembering
312,TN,Just point film It starts one film changes track cheating us resolution film ends another movie nothing pale pale imitation many schlockhorror flicks ever seen The overall impression confusion every respect great deal hubris Screenplay Tarantino direction Rodriguez two guys previously shown talent seem believe hype assume whatever must good merely THEY it But quite work way Youre good continue good things There many questions ask Just George Clooney Harvey Keitel getting involved pointless dreck Clooney initially makes intriguing bad guy  utterly ruthless efficient  would interesting see going But course never do And Clooney vampire film changes completely different character Thats clever witty thats bad bad work Keitel looks thoroughly ill ease throughout wonder Did one studio take look script project given goahead Tarantino utterly unpleasant murderous sexual deviant and he writer assume would find rape gruesome murder butchering inoffensive hostage funny On every level  except technical  film stinks Avoid
313,TN,National Lampoons Christmas Vacation 2 Cousin Eddies Island Adventure 2003 Randy Quaid Miriam Flynn Dana Barron Jake Thomas Sung Hi Lee Eric Idle Fred Willard Ed Asner D Nick Marck Embarrassing directtovideo flop oafish Cousin Eddie family expensespaid vacation South Pacific boss hoping dunce sue company bitten smarter lab monkey Idiotic spin cant measure Vacation films even European Vacation question whether filmmakers thought script actually funny Not even Quaid Willard Asner make remotely watchable 83 min Not rated 
314,TP,Autumn Spring tells misadventures dapper walrus faced 78 approx year old Czech man haplessly befuddles bemuses know mischievous ways wife meticulously plans funeral Centerpiece Hana Brodský shows us get babes kiss 78 cop feel elevator get thanked pranks way day day warm glowing look old age one mans creative amusing socially unacceptable ways enjoying life refusing relegated old folks home Autumn Spring plodding subtle comedy messages ages greatest appeal mature foreign film buffs B
